"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/19/2000","15","","IS 52","36-005-0110","AQS"
"07/20/2000","16","","IS 52","36-005-0110","AQS"
"07/21/2000","33","","IS 52","36-005-0110","AQS"
"07/22/2000","16","","IS 52","36-005-0110","AQS"
"07/23/2000","21","","Jersey City Firehouse","34-017-1003","AQS"
"07/24/2000","19","","IS 52","36-005-0110","AQS"
"07/25/2000","13","","IS 52","36-005-0110","AQS"
"07/26/2000","7","","IS 52","36-005-0110","AQS"
"07/27/2000","7","","IS 52","36-005-0110","AQS"
"07/28/2000","15","","IS 52","36-005-0110","AQS"
"07/29/2000","36","","FORT LEE","34-003-0004","AQS"
"07/30/2000","17","","IS 52","36-005-0110","AQS"
"07/31/2000","14","","IS 52","36-005-0110","AQS"
