"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/18/1992","45","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/19/1992","44","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/20/1992","55","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/21/1992","33","","Pomona","06-037-1701","AQS"
"08/22/1992","18","","Lynwood","06-037-1301","AQS"
"08/23/1992","27","","Lynwood","06-037-1301","AQS"
"08/24/1992","24","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"08/25/1992","18","","","06-037-6002","AQS"
"08/26/1992","30","","Lynwood","06-037-1301","AQS"
"08/27/1992","49","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/28/1992","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/29/1992","33","","Pomona","06-037-1701","AQS"
"08/30/1992","15","","West Los Angeles","06-037-0113","AQS"
"08/31/1992","23","","Hawthorne","06-037-5001","AQS"
"09/01/1992","23","","Azusa","06-037-0002","AQS"
"09/02/1992","27","","Pasadena","06-037-2005","AQS"
"09/03/1992","34","","Pasadena","06-037-2005","AQS"
"09/04/1992","27","","Lynwood","06-037-1301","AQS"
"09/05/1992","50","","Lynwood","06-037-1301","AQS"
"09/06/1992","23","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/07/1992","26","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/08/1992","34","","Pomona","06-037-1701","AQS"
"09/09/1992","30","","Reseda","06-037-1201","AQS"
"09/10/1992","30","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/11/1992","31","","Pomona","06-037-1701","AQS"
"09/12/1992","42","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/13/1992","33","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/14/1992","35","","Pomona","06-037-1701","AQS"
"09/15/1992","33","","Azusa","06-037-0002","AQS"
"09/16/1992","41","","Burbank","06-037-1002","AQS"
"09/17/1992","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/18/1992","53","","Burbank","06-037-1002","AQS"
"09/19/1992","56","","Lynwood","06-037-1301","AQS"
"09/20/1992","44","","Los Angeles-North Main Street","06-037-1103","AQS"
